layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,confusion_matrix,n_seeds
0,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 1, 1], [0, 18, 0], [2, 0, 16]]",5
1,0.9444444444444444,0.0,0.9444015444015443,0.0,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [2, 0, 16]]",5
2,0.9444444444444444,0.0,0.9444015444015443,0.0,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [2, 0, 16]]",5
3,0.9444444444444444,0.0,0.943901043901044,0.0,54.0,0.0,"[[16, 1, 1], [0, 18, 0], [1, 0, 17]]",5
4,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 1, 1], [0, 18, 0], [2, 0, 16]]",5
5,0.9444444444444444,0.0,0.943901043901044,0.0,54.0,0.0,"[[16, 1, 1], [0, 18, 0], [1, 0, 17]]",5
6,0.9444444444444444,0.0,0.943901043901044,0.0,54.0,0.0,"[[16, 1, 1], [0, 18, 0], [1, 0, 17]]",5
7,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
8,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
9,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
10,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
11,0.9444444444444444,0.0,0.9444015444015443,0.0,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 0, 17]]",5
12,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
13,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
14,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
15,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
16,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
17,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
18,0.9444444444444444,0.0,0.9444015444015443,0.0,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 0, 17]]",5
19,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
20,0.9444444444444444,0.0,0.9439010439010438,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 1, 16]]",5
21,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
22,0.9814814814814815,0.0,0.9814671814671815,0.0,54.0,0.0,"[[18, 0, 0], [0, 18, 0], [1, 0, 17]]",5
23,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
24,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
25,0.962962962962963,1.1102230246251565e-16,0.962962962962963,1.1102230246251565e-16,54.0,0.0,"[[17, 0, 1], [0, 18, 0], [1, 0, 17]]",5
26,0.9814814814814815,0.0,0.9814671814671815,0.0,54.0,0.0,"[[18, 0, 0], [0, 18, 0], [1, 0, 17]]",5
27,0.9444444444444444,0.0,0.9444015444015443,0.0,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 0, 17]]",5
28,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
29,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
30,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
31,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
32,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
33,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
34,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
35,0.9259259259259259,0.0,0.9253825253825255,1.1102230246251565e-16,54.0,0.0,"[[16, 0, 2], [0, 18, 0], [1, 1, 16]]",5
